"Periodo","cvegeo","Entidad_federativa","Necesidad_insatisfecha_de_métodos_anticonceptivos_en_mujeres_en_edad_fértil_(15_a_49_años)_sexualmente_activas",
"2023",	00,"Estados Unidos Mexicanos","12.18176",
"2023",	01,"Aguascalientes","13.21217",
"2023",	02,"Baja California","11.18697",
"2023",	03,"Baja California Sur","10.51218",
"2023",	04,"Campeche","15.195",
"2023",	05,"Coahuila de Zaragoza","11.34154",
"2023",	06,"Colima","11.78587",
"2023",	07,"Chiapas","14.33167",
"2023",	08,"Chihuahua","11.27285",
"2023",	09,"Ciudad de México","11.16587",
"2023",	10,"Durango","10.64082",
"2023",	11,"Guanajuato","14.06362",
"2023",	12,"Guerrero","11.78114",
"2023",	13,"Hidalgo","10.71774",
"2023",	14,"Jalisco","13.22903",
"2023",	15,"México","11.08933",
"2023",	16,"Michoacán de Ocampo","12.74697",
"2023",	17,"Morelos","13.9116",
"2023",	18,"Nayarit","10.99159",
"2023",	19,"Nuevo León","13.10752",
"2023",	20,"Oaxaca","12.50264",
"2023",	21,"Puebla","12.86566",
"2023",	22,"Querétaro","14.24076",
"2023",	23,"Quintana Roo","12.91533",
"2023",	24,"San Luis Potosí","11.39057",
"2023",	25,"Sinaloa","8.77637",
"2023",	26,"Sonora","9.97717",
"2023",	27,"Tabasco","13.43872",
"2023",	28,"Tamaulipas","13.76993",
"2023",	29,"Tlaxcala","11.2046",
"2023",	30,"Veracruz de Ignacio de la Llave","12.7525",
"2023",	31,"Yucatán","12.98925",
"2023",	32,"Zacatecas","9.50158",
"2018",	00,"Estados Unidos Mexicanos","11.0622",
"2018",	01,"Aguascalientes","13.07792",
"2018",	02,"Baja California","9.4388",
"2018",	03,"Baja California Sur","11.26648",
"2018",	04,"Campeche","14.74823",
"2018",	05,"Coahuila de Zaragoza","10.40622",
"2018",	06,"Colima","11.86366",
"2018",	07,"Chiapas","16.30847",
"2018",	08,"Chihuahua","10.38907",
"2018",	09,"Ciudad de México","8.1369",
"2018",	10,"Durango","10.87601",
"2018",	11,"Guanajuato","11.12991",
"2018",	12,"Guerrero","13.43167",
"2018",	13,"Hidalgo","9.15435",
"2018",	14,"Jalisco","11.81239",
"2018",	15,"México","9.51164",
"2018",	16,"Michoacán de Ocampo","12.53618",
"2018",	17,"Morelos","9.92451",
"2018",	18,"Nayarit","11.3993",
"2018",	19,"Nuevo León","11.8744",
"2018",	20,"Oaxaca","13.07293",
"2018",	21,"Puebla","13.89973",
"2018",	22,"Querétaro","12.28456",
"2018",	23,"Quintana Roo","13.54804",
"2018",	24,"San Luis Potosí","9.70004",
"2018",	25,"Sinaloa","8.40736",
"2018",	26,"Sonora","7.84268",
"2018",	27,"Tabasco","11.67976",
"2018",	28,"Tamaulipas","12.311",
"2018",	29,"Tlaxcala","10.99162",
"2018",	30,"Veracruz de Ignacio de la Llave","10.28168",
"2018",	31,"Yucatán","11.83851",
"2018",	32,"Zacatecas","13.14856",
"2014",	00,"Estados Unidos Mexicanos","10.9062",
"2014",	01,"Aguascalientes","11.21502",
"2014",	02,"Baja California","10.25565",
"2014",	03,"Baja California Sur","11.67565",
"2014",	04,"Campeche","12.91774",
"2014",	05,"Coahuila de Zaragoza","11.00294",
"2014",	06,"Colima","11.16098",
"2014",	07,"Chiapas","16.29824",
