"Periodo","cvegeo","Desglose","Proporción_de_hombres,_mujeres_y_niños_de_todas_las_edades_que_viven_en_la_pobreza_en_todas_sus_dimensiones,_con_arreglo_a_las_definiciones_nacionales,_por_desglose_geográfico_(Municipio_o_demarcación_territorial)",
"2020",	00,"Estados Unidos Mexicanos","NA",
"2020",	01,"Aguascalientes","NA",
"2020",	01001,"Aguascalientes","23.6822578574",
"2020",	01002,"Asientos","40.1318811907",
"2020",	01003,"Calvillo","45.7559438264",
"2020",	01004,"Cosío","37.0391820837",
"2020",	01005,"Jesús María","26.3418356434",
"2020",	01006,"Pabellón de Arteaga","28.9180201409",
"2020",	01007,"Rincón de Romos","40.5114187954",
"2020",	01008,"San José de Gracia","45.7709224917",
"2020",	01009,"Tepezalá","37.6474724377",
"2020",	01010,"El Llano","40.6121053517",
"2020",	01011,"San Francisco de los Romo","37.790440594",
"2020",	02,"Baja California","NA",
"2020",	02001,"Ensenada","22.2984391711",
"2020",	02002,"Mexicali","20.2190064344",
"2020",	02003,"Tecate","21.1066942695",
"2020",	02004,"Tijuana","23.7023626651",
"2020",	02005,"Playas de Rosarito","31.2325758822",
"2020",	02006,"San Quintín","34.903741775",
"2020",	03,"Baja California Sur","NA",
"2020",	03001,"Comondú","34.9496860023",
"2020",	03002,"Mulegé","24.1103271926",
"2020",	03003,"La Paz","20.607253513",
"2020",	03008,"Los Cabos","31.6999775122",
"2020",	03009,"Loreto","34.0799644666",
"2020",	04,"Campeche","NA",
"2020",	04001,"Calkiní","62.8421447355",
"2020",	04002,"Campeche","32.5294328189",
"2020",	04003,"Carmen","35.3647126577",
"2020",	04004,"Champotón","57.1733300345",
"2020",	04005,"Hecelchakán","66.6811269282",
"2020",	04006,"Hopelchén","74.8523988736",
"2020",	04007,"Palizada","59.8646888567",
"2020",	04008,"Tenabo","53.8631206752",
"2020",	04009,"Escárcega","68.0555381837",
"2020",	04010,"Calakmul","82.9704274116",
"2020",	04011,"Candelaria","80.4492018864",
"2020",	04012,"Seybaplaya","ND",
"2020",	04013,"Dzitbalché","NA",
"2020",	05,"Coahuila de Zaragoza","NA",
"2020",	05001,"Abasolo","10.9748237664",
"2020",	05002,"Acuña","23.4458965591",
"2020",	05003,"Allende","24.7955442465",
"2020",	05004,"Arteaga","29.014528978",
"2020",	05005,"Candela","33.3905362776",
"2020",	05006,"Castaños","33.7488537763",
"2020",	05007,"Cuatro Ciénegas","33.0032203328",
"2020",	05008,"Escobedo","29.066822586",
"2020",	05009,"Francisco I. Madero","31.7725680629",
"2020",	05010,"Frontera","22.2502270681",
"2020",	05011,"General Cepeda","37.0647340851",
"2020",	05012,"Guerrero","23.8311111111",
"2020",	05013,"Hidalgo","24.1453879047",
"2020",	05014,"Jiménez","24.0701209364",
"2020",	05015,"Juárez","29.3786597267",
"2020",	05016,"Lamadrid","16.4573459716",
"2020",	05017,"Matamoros","27.9075386099",
"2020",	05018,"Monclova","22.8084836993",
"2020",	05019,"Morelos","22.943359375",
"2020",	05020,"Múzquiz","28.9692516982",
"2020",	05021,"Nadadores","16.7889139542",
"2020",	05022,"Nava","24.4078747257",
"2020",	05023,"Ocampo","34.1523488473",
"2020",	05024,"Parras","30.0035533358",
"2020",	05025,"Piedras Negras","22.5540890111",
"2020",	05026,"Progreso","27.7326953748",
"2020",	05027,"Ramos Arizpe","16.8056776759",
"2020",	05028,"Sabinas","20.6400181138",
"2020",	05029,"Sacramento","16.6313043478",
"2020",	05030,"Saltillo","17.634660065",
"2020",	05031,"San Buenaventura","23.1084816119",
"2020",	05032,"San Juan de Sabinas","22.4135789834",
"2020",	05033,"San Pedro","41.3823937357",
"2020",	05034,"Sierra Mojada","25.5042030135",
"2020",	05035,"Torreón","25.998767463",
"2020",	05036,"Viesca","43.2531470752",
"2020",	05037,"Villa Unión","26.5895117541",
"2020",	05038,"Zaragoza","32.7848098141",
"2020",	06,"Colima","NA",
"2020",	06001,"Armería","38.4267126222",
"2020",	06002,"Colima","24.9614263359",
"2020",	06003,"Comala","46.3850668392",
"2020",	06004,"Coquimatlán","44.0407266462",
"2020",	06005,"Cuauhtémoc","29.0781277482",
"2020",	06006,"Ixtlahuacán","41.7839305103",
"2020",	06007,"Manzanillo","24.7426870984",
"2020",	06008,"Minatitlán","27.9968500571",
"2020",	06009,"Tecomán","37.8890598276",
"2020",	06010,"Villa de Álvarez","19.421960878",
"2020",	07,"Chiapas","NA",
"2020",	07001,"Acacoyagua","76.9991596932",
"2020",	07002,"Acala","77.5214052008",
"2020",	07003,"Acapetahua","57.9430970357",
"2020",	07004,"Altamirano","94.6361714314",
"2020",	07005,"Amatán","90.4439780525",
"2020",	07006,"Amatenango de la Frontera","80.3081354716",
"2020",	07007,"Amatenango del Valle","94.273709591",
"2020",	07008,"Angel Albino Corzo","84.9617253168",
"2020",	07009,"Arriaga","62.0996915937",
"2020",	07010,"Bejucal de Ocampo","93.8756646217",
"2020",	07011,"Bella Vista","82.6181382654",
"2020",	07012,"Berriozábal","61.641637737",
"2020",	07013,"Bochil","78.2750751125",
"2020",	07014,"El Bosque","96.2651400772",
"2020",	07015,"Cacahoatán","76.6340716917",
"2020",	07016,"Catazajá","67.4060999811",
"2020",	07017,"Cintalapa","71.9514913464",
"2020",	07018,"Coapilla","82.9022217672",
"2020",	07019,"Comitán de Domínguez","68.7716523735",
"2020",	07020,"La Concordia","76.2359386911",
"2020",	07021,"Copainalá","74.7805557701",
"2020",	07022,"Chalchihuitán","98.8691679358",
"2020",	07023,"Chamula","96.3173261087",
"2020",	07024,"Chanal","99.110794175",
"2020",	07025,"Chapultenango","86.1167145005",
"2020",	07026,"Chenalhó","98.625953209",
"2020",	07027,"Chiapa de Corzo","60.4733133952",
"2020",	07028,"Chiapilla","82.6074673716",
"2020",	07029,"Chicoasén","77.6597860762",
"2020",	07030,"Chicomuselo","81.5644415308",
"2020",	07031,"Chilón","96.8862871763",
"2020",	07032,"Escuintla","70.4717306392",
"2020",	07033,"Francisco León","86.5149464185",
"2020",	07034,"Frontera Comalapa","77.5531791013",
"2020",	07035,"Frontera Hidalgo","69.1304714912",
"2020",	07036,"La Grandeza","88.4299212598",
"2020",	07037,"Huehuetán","56.1771446877",
"2020",	07038,"Huixtán","96.6475494385",
"2020",	07039,"Huitiupán","94.1373250857",
"2020",	07040,"Huixtla","56.9820139774",
"2020",	07041,"La Independencia","91.5964861332",
"2020",	07042,"Ixhuatán","84.7930403513",
"2020",	07043,"Ixtacomitán","65.6715478044",
"2020",	07044,"Ixtapa","87.0056122697",
"2020",	07045,"Ixtapangajoya","71.9066186107",
"2020",	07046,"Jiquipilas","64.6188286799",
"2020",	07047,"Jitotol","94.5684123124",
"2020",	07048,"Juárez","54.636120067",
"2020",	07049,"Larráinzar","95.7310026942",
"2020",	07050,"La Libertad","42.770374662",
"2020",	07051,"Mapastepec","70.844767198",
"2020",	07052,"Las Margaritas","94.0799056301",
"2020",	07053,"Mazapa de Madero","82.5722028649",
"2020",	07054,"Mazatán","56.2934307677",
"2020",	07055,"Metapa","59.9931236032",
"2020",	07056,"Mitontic","98.3911206641",
"2020",	07057,"Motozintla","71.1680399358",
"2020",	07058,"Nicolás Ruíz","96.6488272921",
"2020",	07059,"Ocosingo","92.4999123168",
"2020",	07060,"Ocotepec","91.9847657373",
"2020",	07061,"Ocozocoautla de Espinosa","72.5486122752",
"2020",	07062,"Ostuacán","58.2936057549",
"2020",	07063,"Osumacinta","69.2435734284",
"2020",	07064,"Oxchuc","98.0780507644",
"2020",	07065,"Palenque","69.8750784259",
"2020",	07066,"Pantelhó","97.7813656371",
"2020",	07067,"Pantepec","88.7643875148",
"2020",	07068,"Pichucalco","60.9534588911",
"2020",	07069,"Pijijiapan","68.2615948266",
"2020",	07070,"El Porvenir","94.6325755104",
"2020",	07071,"Villa Comaltitlán","55.4459731897",
"2020",	07072,"Pueblo Nuevo Solistahuacán","92.0949542641",
"2020",	07073,"Rayón","85.3201880498",
"2020",	07074,"Reforma","56.7838489217",
"2020",	07075,"Las Rosas","89.6196573854",
"2020",	07076,"Sabanilla","93.398781461",
"2020",	07077,"Salto de Agua","86.3731698651",
"2020",	07078,"San Cristóbal de las Casas","66.1151701938",
"2020",	07079,"San Fernando","62.2021448183",
"2020",	07080,"Siltepec","91.8925956798",
"2020",	07081,"Simojovel","95.3579868564",
"2020",	07082,"Sitalá","97.1730001962",
"2020",	07083,"Socoltenango","73.8671492252",
"2020",	07084,"Solosuchiapa","75.5361302591",
"2020",	07085,"Soyaló","90.4313835094",
"2020",	07086,"Suchiapa","70.9350822319",
"2020",	07087,"Suchiate","62.7460343745",
"2020",	07088,"Sunuapa","66.3082311734",
"2020",	07089,"Tapachula","58.4942052002",
"2020",	07090,"Tapalapa","78.7990029458",
"2020",	07091,"Tapilula","73.1160553562",
"2020",	07092,"Tecpatán","83.2349073077",
"2020",	07093,"Tenejapa","97.0797998697",
"2020",	07094,"Teopisca","91.5782277124",
"2020",	07096,"Tila","98.0705840801",
"2020",	07097,"Tonalá","60.9394180032",
"2020",	07098,"Totolapa","94.1385407964",
"2020",	07099,"La Trinitaria","87.7573714262",
"2020",	07100,"Tumbalá","95.8327540107",
"2020",	07101,"Tuxtla Gutiérrez","46.1714926717",
"2020",	07102,"Tuxtla Chico","64.5817124395",
"2020",	07103,"Tuzantán","68.7714422204",
"2020",	07104,"Tzimol","80.9738462323",
"2020",	07105,"Unión Juárez","69.9851956286",
"2020",	07106,"Venustiano Carranza","85.3168716206",
"2020",	07107,"Villa Corzo","81.7317111046",
"2020",	07108,"Villaflores","69.5202401285",
"2020",	07109,"Yajalón","90.4017161042",
"2020",	07110,"San Lucas","87.7745347436",
"2020",	07111,"Zinacantán","96.8485407619",
"2020",	07112,"San Juan Cancuc","99.2568472144",
"2020",	07113,"Aldama","98.9482448784",
"2020",	07114,"Benemérito de las Américas","75.8467797001",
"2020",	07115,"Maravilla Tenejapa","95.3634774094",
"2020",	07116,"Marqués de Comillas","77.1633208536",
"2020",	07117,"Montecristo de Guerrero","92.5314927692",
"2020",	07118,"San Andrés Duraznal","98.5197598799",
"2020",	07119,"Santiago el Pinar","97.2926978932",
"2020",	07120,"Capitán Luis Ángel Vidal","92.1086751532",
"2020",	07121,"Rincón Chamula San Pedro","97.8847219017",
"2020",	07122,"El Parral","77.602548262",
"2020",	07123,"Emiliano Zapata","72.2035338233",
"2020",	07124,"Mezcalapa","79.7040946921",
"2020",	07125,"Honduras de la Sierra","ND",
"2020",	08,"Chihuahua","NA",
"2020",	08001,"Ahumada","37.88438559",
"2020",	08002,"Aldama","25.3823127887",
"2020",	08003,"Allende","21.2699952107",
"2020",	08004,"Aquiles Serdán","30.0726158486",
"2020",	08005,"Ascensión","43.509385966",
"2020",	08006,"Bachíniva","12.1928219564",
"2020",	08007,"Balleza","64.339342723",
"2020",	08008,"Batopilas","92.2113183161",
"2020",	08009,"Bocoyna","56.5051532158",
"2020",	08010,"Buenaventura","46.8025598194",
"2020",	08011,"Camargo","27.1851465597",
"2020",	08012,"Carichí","55.3190818514",
"2020",	08013,"Casas Grandes","32.7015437635",
"2020",	08014,"Coronado","23.4722222222",
"2020",	08015,"Coyame del Sotol","24.0612870276",
"2020",	08016,"La Cruz","15.2115917915",
