"Periodo","cvegeo","Entidad_federativa","Proporción_de_residuos_sólidos_urbanos_recolectados_de_manera_selectiva_respecto_del_total_de_residuos_sólidos_urbanos_recolectados",
"2022",	00,"Estados Unidos Mexicanos","13.57350718",
"2022",	01,"Aguascalientes","0",
"2022",	02,"Baja California","0",
"2022",	03,"Baja California Sur","0",
"2022",	04,"Campeche","0",
"2022",	05,"Coahuila de Zaragoza","0",
"2022",	06,"Colima","0.048512898",
"2022",	07,"Chiapas","0.306401837",
"2022",	08,"Chihuahua","0",
"2022",	09,"Ciudad de México","81.48010236",
"2022",	10,"Durango","0",
"2022",	11,"Guanajuato","0.035013328",
"2022",	12,"Guerrero","1.307831107",
"2022",	13,"Hidalgo","3.865912817",
"2022",	14,"Jalisco","8.732522866",
"2022",	15,"México","4.687232382",
"2022",	16,"Michoacán de Ocampo","0.802161132",
"2022",	17,"Morelos","0",
"2022",	18,"Nayarit","0",
"2022",	19,"Nuevo León","0.017441681",
"2022",	20,"Oaxaca","10.99507623",
"2022",	21,"Puebla","0.226745128",
"2022",	22,"Querétaro","0.702004003",
"2022",	23,"Quintana Roo","0",
"2022",	24,"San Luis Potosí","0",
"2022",	25,"Sinaloa","0",
"2022",	26,"Sonora","0.721004183",
"2022",	27,"Tabasco","0",
"2022",	28,"Tamaulipas","0.045265954",
"2022",	29,"Tlaxcala","0.181267787",
"2022",	30,"Veracruz de Ignacio de la Llave","4.514898756",
"2022",	31,"Yucatán","0.503477973",
"2022",	32,"Zacatecas","0.067135621",
"2020",	00,"Estados Unidos Mexicanos","13.50371115",
"2020",	01,"Aguascalientes","0.007431178",
"2020",	02,"Baja California","0",
"2020",	03,"Baja California Sur","0",
"2020",	04,"Campeche","0",
"2020",	05,"Coahuila de Zaragoza","0",
"2020",	06,"Colima","0.352232191",
"2020",	07,"Chiapas","1.576871794",
"2020",	08,"Chihuahua","0",
"2020",	09,"Ciudad de México","88.2311053",
"2020",	10,"Durango","0",
"2020",	11,"Guanajuato","0.075345841",
"2020",	12,"Guerrero","0.001251962",
"2020",	13,"Hidalgo","1.617917939",
"2020",	14,"Jalisco","2.885922193",
"2020",	15,"México","3.132081438",
"2020",	16,"Michoacán de Ocampo","1.600720865",
"2020",	17,"Morelos","0.056977453",
"2020",	18,"Nayarit","0",
"2020",	19,"Nuevo León","0.046545202",
"2020",	20,"Oaxaca","8.676011971",
"2020",	21,"Puebla","0.614742965",
"2020",	22,"Querétaro","1.833682487",
"2020",	23,"Quintana Roo","0",
"2020",	24,"San Luis Potosí","0",
"2020",	25,"Sinaloa","0",
"2020",	26,"Sonora","0.652051845",
"2020",	27,"Tabasco","0",
"2020",	28,"Tamaulipas","0.047242694",
"2020",	29,"Tlaxcala","0.250081693",
"2020",	30,"Veracruz de Ignacio de la Llave","2.78729363",
"2020",	31,"Yucatán","0",
"2020",	32,"Zacatecas","0.061038556",
"2018",	00,"Estados Unidos Mexicanos","12.05552478",
"2018",	01,"Aguascalientes","0",
"2018",	02,"Baja California","0",
"2018",	03,"Baja California Sur","0",
"2018",	04,"Campeche","0",
"2018",	05,"Coahuila de Zaragoza","0",
"2018",	06,"Colima","1.533077402",
"2018",	07,"Chiapas","0.52229242",
"2018",	08,"Chihuahua","0.147587016",
"2018",	09,"Ciudad de México","68.97632695",
"2018",	10,"Durango","0",
"2018",	11,"Guanajuato","9.29797068",
"2018",	12,"Guerrero","0",
"2018",	13,"Hidalgo","1.670831487",
"2018",	14,"Jalisco","2.049601084",
"2018",	15,"México","10.55665662",
"2018",	16,"Michoacán de Ocampo","1.387748166",
"2018",	17,"Morelos","1.761024406",
"2018",	18,"Nayarit","0.336091524",
"2018",	19,"Nuevo León","0.043582616",
"2018",	20,"Oaxaca","3.722539332",
"2018",	21,"Puebla","0.807878491",
"2018",	22,"Querétaro","1.878043858",
"2018",	23,"Quintana Roo","0",
"2018",	24,"San Luis Potosí","0.051619937",
"2018",	25,"Sinaloa","0",
"2018",	26,"Sonora","0.657660274",
"2018",	27,"Tabasco","0",
"2018",	28,"Tamaulipas","0.021285416",
"2018",	29,"Tlaxcala","0.261415127",
"2018",	30,"Veracruz de Ignacio de la Llave","4.7120612",
"2018",	31,"Yucatán","0.140336739",
"2018",	32,"Zacatecas","0.043776014",
"2016",	00,"Estados Unidos Mexicanos","14.99729842",
"2016",	01,"Aguascalientes","0",
"2016",	02,"Baja California","0",
"2016",	03,"Baja California Sur","0",
"2016",	04,"Campeche","0",
"2016",	05,"Coahuila de Zaragoza","0",
"2016",	06,"Colima","0.730558566",
"2016",	07,"Chiapas","1.143447578",
"2016",	08,"Chihuahua","4.280354059",
"2016",	09,"Ciudad de México","89.54942972",
"2016",	10,"Durango","0.580324876",
"2016",	11,"Guanajuato","0.626136538",
"2016",	12,"Guerrero","2.621358605",
"2016",	13,"Hidalgo","1.456643705",
"2016",	14,"Jalisco","5.21706383",
"2016",	15,"México","2.311584306",
"2016",	16,"Michoacán de Ocampo","1.506156259",
"2016",	17,"Morelos","1.810989554",
"2016",	18,"Nayarit","0",
"2016",	19,"Nuevo León","0.037252476",
"2016",	20,"Oaxaca","4.41031722",
"2016",	21,"Puebla","41.10403078",
"2016",	22,"Querétaro","1.171605051",
"2016",	23,"Quintana Roo","0.051224865",
"2016",	24,"San Luis Potosí","0.080234928",
"2016",	25,"Sinaloa","0",
"2016",	26,"Sonora","0.121573797",
"2016",	27,"Tabasco","0.075340539",
"2016",	28,"Tamaulipas","0.032741927",
"2016",	29,"Tlaxcala","0",
"2016",	30,"Veracruz de Ignacio de la Llave","0.221994116",
"2016",	31,"Yucatán","12.00413992",
"2016",	32,"Zacatecas","0.046684861",
"2014",	00,"Estados Unidos Mexicanos","10.38266671",
"2014",	01,"Aguascalientes","0",
"2014",	02,"Baja California","0",
"2014",	03,"Baja California Sur","0",
"2014",	04,"Campeche","0",
"2014",	05,"Coahuila de Zaragoza","0",
"2014",	06,"Colima","0.140189536",
"2014",	07,"Chiapas","0",
"2014",	08,"Chihuahua","0",
"2014",	09,"Ciudad de México","46.10480665",
"2014",	10,"Durango","0",
"2014",	11,"Guanajuato","0.804462083",
"2014",	12,"Guerrero","0",
"2014",	13,"Hidalgo","3.492519773",
"2014",	14,"Jalisco","3.309015995",
"2014",	15,"México","10.98894344",
"2014",	16,"Michoacán de Ocampo","3.638490915",
"2014",	17,"Morelos","2.271756557",
"2014",	18,"Nayarit","0",
"2014",	19,"Nuevo León","0",
"2014",	20,"Oaxaca","5.580491968",
"2014",	21,"Puebla","0.243334456",
"2014",	22,"Querétaro","2.499158561",
"2014",	23,"Quintana Roo","0",
"2014",	24,"San Luis Potosí","0",
"2014",	25,"Sinaloa","0",
"2014",	26,"Sonora","0",
"2014",	27,"Tabasco","0",
"2014",	28,"Tamaulipas","3.883962196",
"2014",	29,"Tlaxcala","0",
"2014",	30,"Veracruz de Ignacio de la Llave","0.51988722",
"2014",	31,"Yucatán","66.14806583",
"2014",	32,"Zacatecas","0",
"2012",	00,"Estados Unidos Mexicanos","16.31411619",
"2012",	01,"Aguascalientes","0",
"2012",	02,"Baja California","0",
"2012",	03,"Baja California Sur","0.113363904",
"2012",	04,"Campeche","0.720171981",
"2012",	05,"Coahuila de Zaragoza","0",
"2012",	06,"Colima","0",
"2012",	07,"Chiapas","0.122946827",
"2012",	08,"Chihuahua","0",
"2012",	09,"Ciudad de México","79.39469361",
"2012",	10,"Durango","5.831698849",
"2012",	11,"Guanajuato","1.507334446",
"2012",	12,"Guerrero","0",
"2012",	13,"Hidalgo","5.021727016",
"2012",	14,"Jalisco","10.15354762",
"2012",	15,"México","3.398727836",
"2012",	16,"Michoacán de Ocampo","0.433527594",
"2012",	17,"Morelos","1.480211305",
"2012",	18,"Nayarit","0.290188112",
"2012",	19,"Nuevo León","0.004596237",
"2012",	20,"Oaxaca","11.74303798",
"2012",	21,"Puebla","2.539440593",
"2012",	22,"Querétaro","21.8954368",
